node1,node2,similarity
1692-25-7,952475-51-3,0.074
1692-25-7,952480-00-1,0.075
1692-25-7,952479-99-1,0.058
1692-25-7,1038916-13-0,0.093
1692-25-7,1038916-03-8,0.05
1692-25-7,1038916-01-6,0.049
1692-25-7,1038915-94-4,0.057
1692-25-7,1038915-86-4,0.056
1692-25-7,1038915-84-2,0.056
1692-25-7,1038915-82-0,0.06
1692-25-7,1038915-80-8,0.06
1692-25-7,1038915-70-6,0.056
1692-25-7,1038915-67-1,0.06
1692-25-7,1038915-64-8,0.073
1692-25-7,1038915-73-9,0.061
1692-25-7,1038915-56-8,0.073
1692-25-7,1038915-62-6,0.073
1692-25-7,1038915-76-2,0.068
1692-25-7,1038915-71-7,0.053
1692-25-7,1038915-68-2,0.056
460-00-4,1038915-60-4,0.038
460-00-4,5437-38-7,0.068
460-00-4,5471-82-9,0.06
460-00-4,518070-19-4,0.132
460-00-4,138229-59-1,0.057
460-00-4,875798-79-1,0.048
460-00-4,132874-06-7,0.075
460-00-4,1171197-20-8,0.048
460-00-4,1038916-11-8,0.033
460-00-4,952479-96-8,0.109
460-00-4,1038915-75-1,0.038
460-00-4,1038915-92-2,0.033
460-00-4,1038915-90-0,0.033
